cgpa,iq
5.13,88
5.9,113
8.36,93
8.27,97
5.45,110
5.88,109
8.41,98
8.8,115
5.79,110
8.09,94
4.6,86
6.1,110
8.16,97
5.0,88
5.71,108
8.31,95
5.5,111
7.87,91
6.05,111
5.84,113
7.47,98
4.86,86
7.78,92
4.78,87
4.96,88
7.93,98
4.86,87
9.18,119
8.04,94
5.43,106
8.86,117
6.01,112
8.83,118
5.32,106
7.77,96
8.0,96
8.56,118
5.91,108
5.44,84
5.57,113
5.34,85
8.43,96
8.02,93
5.31,86
8.96,116
8.78,116
8.14,94
6.4,108
8.45,119
5.67,109
5.14,83
4.95,86
8.79,116
8.12,96
8.81,115
6.05,108
5.85,111
8.88,115
5.87,109
9.07,117
6.02,104
8.34,96
8.65,95
8.92,118
5.21,87
8.75,113
8.53,93
4.91,85
5.77,111
8.29,95
6.06,109
8.71,116
7.93,94
5.28,83
5.55,109
8.86,118
5.81,112
9.3,117
5.15,88
8.72,92
8.14,91
9.01,121
5.47,111
4.9,85
8.97,116
4.89,88
9.0,117
5.74,109
8.76,117
5.8,108
8.78,117
9.23,114
8.2,92
5.05,86
8.67,95
8.18,94
9.03,118
8.61,95
4.98,91
9.13,118
5.88,110
5.01,86
4.95,88
8.91,119
4.96,89
4.85,86
7.99,92
4.76,90
8.98,118
9.03,118
8.08,94
8.86,117
5.91,109
5.67,111
8.26,91
8.89,118
8.25,95
5.74,108
8.97,117
4.98,87
4.78,87
5.69,109
8.4,93
8.72,119
7.84,97
5.2,85
8.08,98
6.05,109
5.05,87
8.25,96
8.3,93
6.14,111
5.01,83
4.77,86
5.74,112
8.93,118
5.94,109
4.68,87
7.9,100
7.97,96
8.21,94
4.81,85
5.86,111
5.03,87
4.98,87
8.58,118
5.32,88
8.94,117
6.38,107
4.86,88
8.6,117
4.89,85
8.77,117
8.81,116
4.88,86
8.23,95
6.61,111
8.54,118
6.04,110
8.35,93
5.01,86
8.97,119
6.24,108
8.33,92
8.91,117
4.67,86
6.1,109
5.15,85
4.97,88
8.68,119
9.06,120
5.8,110
8.9,117
4.87,88
5.2,89
8.46,98
8.94,115
5.87,108
4.99,88
8.91,115
8.91,117
5.97,108
6.17,110
6.01,107
7.89,96
4.79,88
7.91,93
8.23,91
8.95,116
6.33,111
8.4,93
8.44,94
4.76,89
4.78,85
8.79,96
4.68,89
8.57,118
5.85,112
6.23,108
8.82,117
